;;;;;;USA/CANADA;;;;;;;;OTHERS;;UK;;;;;;;;;;SPAIN;;FRANCE;;;;;;;;;;;;;;;Autres EUR;;;AMLAT;;;ASIA;ASIA;ASIA;;
Pays;Domaine ou Marque;Couleur;Nom du vin;Millésime;Available;Wine Spectator;Wine Enthusiast;Wine Advocate;Wine & Spirits;Vinous;James Suckling;Wine Align;Jeb Dunnuck;Miquel Hudin;TASTED Andreas Larson;Decanter;IWC;IWSC;Tim Atkin;Jancis Robinson;Wine Merchant Magazine;Wine Anorak;Harpers;Sommelier Edit Awards (Via CIVR);Drinks Business;Gourmets;Guia Penin;RVF;Le Point;Terre de Vins;Anivin;Mondial Grenache;Mondial SB;Gilbert & Gaillard;Sud-Ouest;Concours de Bruxelles;Académie des Vins et de la Gastronomie;Concours Général Agricole de Paris;Concours IGP;Bettane & Desseauve;PARIS INTERNATIONAL TROPHY;GILBERT & GAILLARD (gold entre 87 et 89 / dble gold à partir 90);Falstaff;Yves Beck;Mundus vini;Descorchados;Vinomanos;la CAV;Tatler HK;Jeannie Cho Lee MW;Sakura Wine Awards;RECAP EMAIL;date_ajout
Argentine;Bodega Piedra Negra ;Rouge ;L'Esprit de Chacayes;2017;;88;88;;;91;92;;;;;;;;93;;;93;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;L'Esprit de Chacayes;2018;;;;;;;92;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;L'Esprit de Chacayes;2019;;92;;92;;94;95;;;;;95;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;93;95;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;L'Esprit de Chacayes;2020;;88;;91;91;94;94;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;96;93;;;;;"96D; 94V ; 94JS ; 93VINO ; 91TA ; 91WA ; 91W&S ; 88WS";
Argentine;Bodega Piedra Negra ;Rouge ;L'Esprit de Chacayes;2021;;;;;;92;92;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"93TA ; 92JS ; 92V";
Argentine;Bodega Piedra Negra ;Rouge ;L'Esprit de Chacayes;2022;x;;;92;;93;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;;;;;;"94D ; 93JS ; 92 WA";
Argentine;Bodega Piedra Negra ;Rouge ;L'Esprit de Chacayes;2023;x;;93;;;93;91;;;;;;;;92;17,5;;;;;;;;;;;;;;;;;;;;;;;;;;94;;;;;;"94D ; 93V ; 91JS ; 92TA ; 17,5JR ; 93WE";
Argentine;Bodega Piedra Negra ;Rouge ;L'Esprit de Chacayes;2024;x;;;;;;93;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;97 - Ranking Mejores Los Chacayes;;;;;;93TA;
Argentine;Bodega Piedra Negra ;Rouge ;Malbec Reserve;2017;;85;90;89;;;92;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;91;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Malbec Reserve;2018;X;91 (wine of the week 07/20);;91;;91;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Malbec Reserve;2019;X;89;;;;;94;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;92;90;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Malbec Reserve;2020;;;;;;;95;;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Malbec Reserve;2021;;;86;91;;;92;;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"91WA ; 92JS ; 92TA";
Argentine;Bodega Piedra Negra ;Rouge ;Malbec Reserve;2022;;;;;;90;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;;;;;;"92JS ; 91D";
Argentine;Bodega Piedra Negra ;Rouge ;Malbec Reserve;2023;x;;90 BEST BUY;;;90;92;;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;GOLD (année 2025);;;;;;;;;;;"92JS ; 92TA ; 90V";
Argentine;Bodega Piedra Negra ;Rouge ;Malbec Reserve;2024;x;;;;;92;92;;;;;;;;91;;;;;;;;;;;;;;;94 - Double Gold;;;;;;;;;;;;93;;;;;;"91TA ; 94 G&G";
Argentine;Bodega Piedra Negra ;Blanc ;Pasitea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Piedra Negra - Pinot Gris Brut Nature - Methode Traditionnelle;NV;X;;;;;90;92;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Metodo Traditional - Pinot Gris;2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92 - Ranking Mejores Espumantes;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Pinot Gris Reserve;2017;;;;;;;;90;;;;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Pinot Gris Reserve;2018;X;;;;;86;93;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;91;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Pinot Gris Reserve;2020;X;;;;;90;93;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Pinot Gris Reserve;2021;X;;;;;;;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Pinot Gris Reserve;2022;X;;;89;;91;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Pinot Gris Reserve;2023;;;;;;91;92;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;;
Argentine;Bodega Piedra Negra ;Blanc ;Arroyo Grande Pinot Gris Reserve;2024;x;;;;;92;93;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"93JS ; 92V ; 91TA";
Argentine;Bodega Piedra Negra ;Rouge ;Ruta22;2019;X;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Ruta22;2020;X;;;;;88-89;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Santa Celina malbec;2024;X;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90JS;
Argentine;Bodega Piedra Negra ;Blanc ;Vuela - Pinot Gris;2025;x;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91JS;
Argentine;Bodega Piedra Negra ;Rosé ;Vuela - Pinot Gris Rosé;2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;;;
Argentine;Bodega Piedra Negra ;Rosé ;Vuela - Rosé - Sparkling;NV;X;;;;;90;90;;;;;;;;86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Bordeaux ;Rouge ;Merlot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Bordeaux ;Blanc ;Sauvignon Blanc;2023;;;;;;;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Campo Eliseo ;Rouge ;Campesino;2018;X;;;;;;;;;;;;;;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Campo Eliseo ;Rouge ;Campesino;2019;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91JS;
Espagne;Campo Eliseo ;Rouge ;Campesino;2020;;;90 BEST BUY;;;;;;;;;;;;;;;;;;;92;91;;;;;;;;;;;;;;;;;;;;;;;;;"92G ; 91GP ; 90WE - best buy";
Espagne;Campo Eliseo ;Rouge ;Campesino;2021;;;;;;;;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91TA;
Espagne;Campo Eliseo ;Rouge ;Campesino;2022;;;;;;;;;;;;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Campo Eliseo ;Blanc ;Campo Eliseo Rueda;2013;;89;90;89;;;;;;;;;;;;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;"89WS ; 90WE ; 89WA ; 92Gourmets";
Espagne;Campo Eliseo ;Blanc ;Campo Eliseo Rueda;2014;;88;;89-92;87;;;;;;;;;;;;;;3*;;;96;91;;;;;;;;;;;;;;;;;;;;;;;;;"89-92WA ; 96Gourmets ; 91GP";
Espagne;Campo Eliseo ;Blanc ;Campo Eliseo Rueda;2016;;90;;;;;92;;;;;;;;;;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;"90WS ; 92JS ; 92GP";
Espagne;Campo Eliseo ;Blanc ;Campo Eliseo Rueda;2017;X;90;91;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"90WS ; 91WE ; 93JS";
Espagne;Campo Eliseo ;Blanc ;Campo Eliseo Rueda;2018;;;;;;;92;;;93**;;91;;;;;;;;;;96;93;;;;;;;;;;;;;;;;;;;;;;;;;"93GP ; 96 Gourmet ; 92JS ; 93**MH";
Espagne;Campo Eliseo ;Blanc ;Campo Eliseo Rueda;2019;;91;91;91;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"91WS ; 91WA ; 91WE ; 93 JS";
Espagne;Campo Eliseo ;Blanc ;Campo Eliseo Rueda;2020;x;90;94- EDITOR'S CHOICE;90;;;;;;;;;;;;;;;;;;95;92;;;;;;;;;;;;;;;;;;;;;;;;;"90WS ; 94WE - EDITOR'S CHOICE ; 90WA ; 95G ; 92GP";
Espagne;Campo Eliseo ;Blanc ;Campo Eliseo Rueda;2021;x;;93 EDITOR'S CHOICE;92;;;;;;;;;;;95 TOP 100;;;;;;;92;93;;;;;;;;;;;;;;;;;;;;;;;;;"93WE - EDITOR'S CHOICE ; 92WA ; 95TA - top100 ; 92G ; 93GP";
Espagne;Campo Eliseo ;Blanc ;Campo Eliseo Rueda;2022;;;;;;;;;;;;93 - Silver medal;;;;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;" ; 92 GP; 93pt Decanter";
Espagne;Campo Eliseo ;Blanc ;Campo Eliseo Rueda;2023;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Campo Eliseo ;Rouge ;Campo Eliseo Toro;2001;;93;88;92;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"93WS ; 92WA ; 92W&S";
Espagne;Campo Eliseo ;Rouge ;Campo Eliseo Toro;2002;;94;91;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"94WS ; 91WE ; 90W&S";
Espagne;Campo Eliseo ;Rouge ;Campo Eliseo Toro;2003;;92;93;90;90;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"92WS ; 93WE ; 90WA ; 90W&S ; 89V";
Espagne;Campo Eliseo ;Rouge ;Campo Eliseo Toro;2004;;91;92;94;91;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"91WS ; 92WE ; 94WA ; 91W&S ; 91V";
Espagne;Campo Eliseo ;Rouge ;Campo Eliseo Toro;2005;;92;93;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"93WE ; 91WA";
Espagne;Campo Eliseo ;Rouge ;Campo Eliseo Toro;2006;;92;95;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"95WE ; 93WA";
Espagne;Campo Eliseo ;Rouge ;Campo Eliseo Toro;2008;x;94;;91;;93;;;;;;;;;;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;"94WS ; 91WA ; 93V ; 93 Guia Penin";
Espagne;Campo Eliseo ;Rouge ;Campo Eliseo Toro;2009;;93;95;93;90;92;;;;;;;;;;;;;;;;98;94;;;;;;;;;;;;;;;;;;;;;;;;;"93WS ; 95WE ; 93WA ; 90W&S ; 92V ; 98 Gourmets ; 94GP";
Espagne;Campo Eliseo ;Rouge ;Campo Eliseo Toro;2011;;92;;92;;;92;;;;;;;;;;;;4*;;;95;94;;;;;;;;;;;;;;;;;;;;;;;;;"92WS ; 92WA ; 92JS ; 4* Harpers ; 95Gourmets ; 94GP";
Espagne;Campo Eliseo ;Rouge ;Campo Eliseo Toro;2012;;92;;89;;;93;;;;;;;;;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;"92WS ; 89WA ; 93JS ; 91GP";
Espagne;Campo Eliseo ;Rouge ;Campo Eliseo Toro;2014;;90;;90;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"90WS ; 90WA ; 94JS";
Espagne;Campo Eliseo ;Rouge ;Campo Eliseo Toro;2015;X;;93;;;;94;;;94**;;;;;;;;;;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;"93WE ; 94JS ; 94 Gourmet ; 94** Miquel Hudin";
Espagne;Campo Eliseo ;Rouge ;Campo Eliseo Toro;2016;;91;;;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Campo Eliseo ;Rouge ;Campo Eliseo Toro;2017;X;93;95;90;;;93;;;;;;;;;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;"93WS ; 95WE ; 90WA  ; 93JS ; 93 Guia Penin";
Espagne;Campo Eliseo ;Rouge ;Campo Eliseo Toro;2018;X;;94;90;;92;93;;;;;89 - BRONZE medal;;;89;;;;;;;95;;;;;;;;;;;;;;;;;;;;;;;;;;"94WE ; 90WA ; 92V ; 93JS ; 95 Gourmet";
Espagne;Campo Eliseo ;Rouge ;Campo Eliseo Toro;2019;x;;;91;;;;;;;;;;;;;;;;;;95;93;;;;;;;;;;;;;;;;;;;;;;;;;"91WA ; 95Gourmet ; 93Guia Penin";
Espagne;Campo Eliseo ;Rosé ;Cuvée Alegre Rosado;2018;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Campo Eliseo ;Rosé ;Cuvée Alegre Rosado;2019;;;;;;;91;;;;;;;;;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Campo Eliseo ;Rosé ;Cuvée Alegre Rosado;2020;;;87;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Campo Eliseo ;Blanc ;Cuvée Alegre Rueda;2014;;87;;89;87;;;;;;;;;;;;;;;;;94;91****;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Campo Eliseo ;Blanc ;Cuvée Alegre Rueda;2015;;90;;;;;;;;;;;;;;;;;;;;;92*****;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Campo Eliseo ;Blanc ;Cuvée Alegre Rueda;2016;;;82;;;;92;;;;;;;;;;;;4*;;;;93*****;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Campo Eliseo ;Blanc ;Cuvée Alegre Rueda;2017;;84;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Campo Eliseo ;Blanc ;Cuvée Alegre Rueda;2018;X;90 - Top 100 Spain;;;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"90&Top100SpainWS ; 94JS";
Espagne;Campo Eliseo ;Blanc ;Cuvée Alegre Rueda;2019;;91;;;;;91;91;;;;92;;;;;;;;;;;91****;;;;;;;;;;;;;;;;;;;;;;;;;"91WS ; 91JS ; 91WA ; 92Dec ; 91****GP";
Espagne;Campo Eliseo ;Blanc ;Cuvée Alegre Rueda;2020;;;89;;;;91;;;92**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"91JS ; 92**MH";
Espagne;Campo Eliseo ;Blanc ;Cuvée Alegre Rueda;2021;x;;;89;;;;;;;;;;;;;;;;;;94;91;;;;;;;;;;;;;;;;;;;;;;;;;"89Wa ; 94G ; 91GP";
Espagne;Campo Eliseo ;Blanc ;Cuvée Alegre Rueda;2022;x;;93 Editor's choice;;;91;;;;;;;;;92;;;;;;;94;91;;;;;;;;;;;;;;;;;;;;;;;;;"93WE - editor's choice ; 91V ; 92TA ; 94G ; 91GP";
Espagne;Campo Eliseo ;Blanc ;Cuvée Alegre Rueda;2023;x;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Campo Eliseo ;Blanc ;Cuvée Alegre Rueda;2024;;;;;;;92;;;;;;;;;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;92JS;
Espagne;Campo Eliseo ;Rouge ;Cuvée Alegre Toro;2009;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Campo Eliseo ;Rouge ;Cuvée Alegre Toro;2010;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Campo Eliseo ;Rouge ;Cuvée Alegre Toro;2012;;87;;88-90;;;;;;;;;;;;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;90GP;
Espagne;Campo Eliseo ;Rouge ;Cuvée Alegre Toro;2013;;82;;90;;;;;;;;;;;;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;"90WA ; 90GP";
Espagne;Campo Eliseo ;Rouge ;Cuvée Alegre Toro;2014;;93;;89;;;91;;;;;;;;;;;;;;;;93***;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Campo Eliseo ;Rouge ;Cuvée Alegre Toro;2015;;;;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Campo Eliseo ;Rouge ;Cuvée Alegre Toro;2016;X;91;;;;;92;;;;;;;;;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Campo Eliseo ;Rouge ;Cuvée Alegre Toro;2017;X;87;86;;;;;;;93**;;;;;;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;"93**MH ; 90GP";
Espagne;Campo Eliseo ;Rouge ;Cuvée Alegre Toro;2018;X;88;;;;;94;;;;;;;;;;;;;;;94;91;;;;;;;;;;;;;;;;;;;;;;;;;"94JS ; 91GP ; 94G";
Espagne;Campo Eliseo ;Rouge ;Cuvée Alegre Toro;2019;;;92;88;;89;;;;;;;;;89;;;;;;;94;92;;;;;;;;;;;;;;;;;;;;;;;;;"92WE ; 92GP ; 94G";
Espagne;Campo Eliseo ;Rouge ;Cuvée Alegre Toro;2020;;;;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89WA;
Espagne;Campo Eliseo ;Rouge ;Cuvée Alegre Toro;2022;;90;91;;;;;;;;;88 - BRONZE Medal;;;;;;;;;;94;92;;;;;;;;;;;;;;;;;;;;;;;;;"90WS ; 91WE";
Espagne;Campo Eliseo ;Rouge ;Contracorriente;2023;;;;;;;91;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"90TA ; 91JS";
Espagne;Campo Eliseo ;Blanc ;Harmonia;2020;x;;96 - Editor's choice;92;;94;;;;;;;;;;17,5;;;;;96;;;;;;;;;;;;;;;;;;;91;;;;;;;;"96WE - editor's choice ; 92WA ; 94V ; 17,5JR ; 96DB ; 91YB";
Espagne;Campo Eliseo ;Blanc ;Harmonia;2021;x;;97 Cellar Selection;93;;93;94;;;;;;;;;;;;;;;97;94;;;;;;;;;;;;;;;;;;;;;;;;;"97 Cellar Selection WE ; 93WA ; 93V ; 97 Gourmet ; 94 Guia Penin ; 94JS";
Espagne;Campo Eliseo ;Blanc ;Harmonia;2022;;;;;;94;93;;;;;;;;95 TOP 100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"94V ; 95TA - top100";
France;Château des Erles ;Rouge ;Château des Erles;2013;;89;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Château des Erles ;Rouge ;Château des Erles;2017;;;;;;;;;;;;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Château des Erles ;Rouge ;Cuvée des Ardoises;2013;;88;;88;;;;;;;;;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine de Nizas ;Blanc ;Domaine de Nizas GV Blanc;2019;X;;;;91 BEST BUY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine de Nizas ;Blanc ;Domaine de Nizas GV Blanc;2020;X;;;;;;90;;;90+**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"90JS ; 90+**MH";
France;Domaine de Nizas ;Blanc ;Domaine de Nizas GV Blanc;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;;;;;;;;90B&D;
France;Domaine de Nizas ;Rouge ;Domaine de Nizas GV Pézenas;2018;X;88;;;88;;;;;;92;;;;;;;93;;;;;;;;;;;;;;;96;;;;;;;;;;;;;;;;
France;Domaine de Nizas ;Rouge ;Domaine de Nizas GV Pézenas;2019;X;;;;;;92;;;92**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"92JS ; 92**MH";
France;Domaine de Nizas ;Rouge ;Domaine de Nizas GV Pézenas;2020;X;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;;;;;;;"90JS ; 93B&D";
France;Domaine de Nizas ;Rosé ;Domaine de Nizas GV rosé;2020;X;;;;;;89;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine de Nizas ;Rosé ;Le Clos Terroir Basalte Rosé;2018;X;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine de Nizas ;Rosé ;Le Clos Terroir Basalte Rosé;2019;X;88;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine de Nizas ;Rosé ;Le Clos Terroir Basalte Rosé;2020;X;89;;;;90;90;;;89*;89;;;;;;;;;;;;;;;Argent;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine de Nizas ;Rosé ;Le Clos Terroir Basalte Rosé;2021;;;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine de Nizas ;Rosé ;Le Clos Terroir Basalte Rosé;2022;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine de Nizas ;Rosé ;Le Clos Terroir Basalte Rosé;2023;;;;;;;;;;;;;;;;;;;;;;;;;;ARGENT;;;;;;;;;;;;;;;;;;;;;;TDV - argent;
France;Domaine de Nizas ;Rouge ;Le Clos Terroir Basalte Rouge;2018;X;90;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine de Nizas ;Rouge ;Le Clos Terroir Basalte Rouge;2019;X;;;;;;91;;;91**;90;;;;;;;;;;;;;;;;;;;;;;;;;Bronze;;;;;;;;;;;;"91JS ; 91**MH ; 90AL ; B&D - bronze";
France;Domaine de Nizas ;Rouge ;Le Clos Terroir Basalte Rouge;2020;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;;;;;;;;90B&D;
France;Domaine de Nizas ;Rouge ;Le Clos Terroir Basalte Rouge;2022;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90JS;
France;Domaine de Nizas ;Blanc ;Le Mazet de Nizas SB-VIO;2018;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine de Nizas ;Blanc ;Le Mazet de Nizas SB-VIO;2020;X;;;;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine de Nizas ;Blanc ;Le Mazet de Nizas SB-VIO;2020;;;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine de Nizas ;Rouge ;Le Mazet de Nizas SYR-CS;2018;;86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine des Salices ;Blanc ;Chardonnay;2017;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine des Salices ;Rouge ;Pinot Noir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine des Salices ;Blanc ;Sauvignon Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine des Salices ;Blanc ;Viognier;2020;X;;;;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine des Salices ;Blanc ;Viognier;2023;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine des Salices ;Blanc ;Viognier;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Argent;;;;;;;;;;;;;;
France;Domaine Les Fumées Blanches ;Blanc ;Domaine Les Fumées Blanches;2017;;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine Les Fumées Blanches ;Blanc ;Domaine Les Fumées Blanches;2018;;;88;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine Les Fumées Blanches ;Blanc ;Domaine Les Fumées Blanches;2020;;;90;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Argent;;;;;;;;;;;;;
France;Domaine Les Fumées Blanches ;Blanc ;Domaine Les Fumées Blanches;2021;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Argent;;;;;;;;;;;;;90WE , argentIGP;
France;Domaine Les Fumées Blanches ;Blanc ;Domaine Les Fumées Blanches;2022;x;;90 Editors' Choice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;;;;;;;;;;;;"90WE - editor's choice ; 94B&D";
France;Domaine Les Fumées Blanches ;Blanc ;Domaine Les Fumées Blanches;2023;;;89;;;;89;;;;;;;;;;;;;;;;;;;OR;;;;;;;;;;;;;;;;;;;;;;or - TDV;
France;Domaine Les Fumées Blanches ;Blanc ;Domaine Les Fumées Blanches;2024;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;;;;;92 G&G;
France;Domaine Les Fumées Blanches ;Rosé ;Gris de Sauvignon - Rosé;2018;;86;86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Domaine Les Fumées Blanches ;Rosé ;Gris de Sauvignon - Rosé;2019;;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
